time,oveTSet_u,reaTZon_y
1382400,294.34999999999997,294.4644011115877
1382430,294.35,294.4654974219668
1382460,294.35,294.4665888231526
1382490,294.35,294.4676736820733
1382520,294.35,294.4687518883981
1382550,294.35,294.4698234919863
1382580,294.35,294.4708885551878
1382610,294.35,294.4719471428301
1382640,294.35,294.4729993190325
1382670,294.35,294.4740451462801
1382700,294.35,294.47508468522784
1382730,294.35,294.4761179947233
1382760,294.35,294.47714513188214
1382790,294.35,294.4781661521621
1382820,294.35,294.4791811094227
1382850,294.35,294.48019005596757
1382880,294.35,294.48119304257176
1382910,294.35,294.4821901184971
1382940,294.35,294.48318133149803
1382970,294.35,294.4841667278205
1383000,294.35,294.4851463521962
1383030,294.35,294.48612024783364
1383060,294.35,294.4870884564082
1383090,294.35,294.4880510180508
1383120,294.35,294.48900797133876
1383150,294.35,294.4899593532869
1383180,294.35,294.49090519934106
1383210,294.35,294.49184554337404
1383240,294.35,294.49278041768457
1383270,294.35,294.49370985299936
1383300,294.35,294.49463387847743
1383330,294.35,294.49555252171933
1383360,294.35,294.49646580877794
1383390,294.35,294.49737376417386
1383420,294.35,294.4982764109128
1383450,294.35,294.4991737705074
1383480,294.35,294.5000658630003
1383510,294.35,294.50095270699137
1383540,294.35,294.5018343196669
1383570,294.35,294.5027107168316
1383600,294.35,294.5035819129421
1383630,294.35,294.5044479211436
1383660,294.35,294.5053087533074
1383690,294.35,294.5061644200707
1383720,294.35,294.50701493087774
1383750,294.35,294.50786029402207
1383780,294.35,294.50870051668994
1383810,294.35,294.5095356050051
1383840,294.35,294.51036556407354
1383870,294.35,294.5111903980296
1383900,294.35,294.51201011008163
1383930,294.35,294.5128247025586
1383960,294.35,294.51363417695654
1383990,294.35,294.5144385339845
1384020,294.35,294.51523777361103
1384050,294.35,294.5160318951094
1384080,294.35,294.516820897103
1384110,294.35,294.51760477760973
1384140,294.35,294.5183835340856
1384170,294.35,294.51915716346764
1384200,294.35,294.5199256622153
1384230,294.35,294.5206890263515
1384260,294.35,294.5214472515015
1384290,294.35,294.52220033293065
1384320,294.35,294.52294826558136
1384350,294.35,294.5236910441084
1384380,294.35,294.52442866291244
1384410,294.35,294.52516111617155
1384440,294.35,294.5258883978712
1384470,294.35,294.526610501832
1384500,294.35,294.52732742173697
1384530,294.35,294.5280391511546
1384560,294.35,294.52874568356214
1384590,294.35,294.52944701236584
1384620,294.35,294.5301431309191
1384650,294.35,294.5308340325387
1384680,294.35,294.5315197105191
1384710,294.35,294.5322001581443
1384740,294.35,294.5328753686979
1384770,294.35,294.5335453354706
1384800,294.35,294.53421005176585
1384830,294.35,294.53486951090355
1384860,294.35,294.53552370622106
1384890,294.35,294.5361726310726
1384920,294.35,294.53681627882634
1384950,294.35,294.53745464285953
1384980,294.35,294.53808771655144
1385010,294.35,294.5387154932748
1385040,294.35,294.5393379663845
1385070,294.35,294.53995512920505
1385100,294.35,294.5405669750162
1385130,294.35,294.5411734970364
1385160,294.35,294.5417746884051
1385190,294.35,294.5423705421627
1385220,294.35,294.54296105122995
1385250,294.35,294.54354620838484
1385280,294.35,294.54412600623914
1385310,294.35,294.54470043721267
1385340,294.35,294.5452694935076
1385370,294.35,294.5458331670801
1385400,294.35,294.5463914496129
1385430,294.35,294.5469443324853
1385460,294.35,294.5474918067436
1385490,294.35,294.5480338630705
1385520,294.35,294.54857049175394
1385550,294.35,294.54910168265565
1385580,294.35,294.54962742517966
1385610,294.35,294.55014770824073
1385640,294.35,294.5506625202322
1385670,294.35,294.55117184899507
1385700,294.35,294.5516756817864
1385730,294.35,294.5521740052488
1385760,294.35,294.55266680538045
1385790,294.35,294.5531540675055
1385820,294.35,294.553635776246
1385850,294.35,294.55411191549405
1385880,294.35,294.55458246838606
1385910,294.35,294.5550474172776
1385940,294.35,294.55550674371995
1385970,294.35,294.55596042843865
1386000,294.35,294.556408451313
1386030,294.35,294.55684794671384
1386060,294.35,294.5572836243645
1386090,294.35,294.5577141953963
1386120,294.35,294.5581392053854
1386150,294.35,294.5585584760812
1386180,294.35,294.5589719188556
1386210,294.35,294.55937947293245
1386240,294.35,294.5597810851774
1386270,294.35,294.56017670372086
1386300,294.35,294.56056627617556
1386330,294.35,294.5609497493674
1386360,294.35,294.5613270695522
1386390,294.35,294.5616981827729
1386420,294.35,294.5620630352438
1386450,294.35,294.5624215737217
1386480,294.35,294.56277374585164
1386510,294.35,294.56311950048365
1386540,294.35,294.5634587879591
1386570,294.35,294.5637915603682
1386600,294.35,294.56411777177817
1386630,294.35,294.5644373784354
1386660,294.35,294.5647503389411
1386690,294.35,294.5650566144032
1386720,294.35,294.5653561685653
1386750,294.35,294.5656489679145
1386780,294.35,294.56593498177017
1386810,294.35,294.56621418235324
1386840,294.35,294.56648654484036
1386870,294.35,294.5667520474009
1386900,294.35,294.5670106712214
1386930,294.35,294.567262400516
1386960,294.35,294.56750722252536
1386990,294.35,294.5677451275057
1387020,294.35,294.56797610870683
1387050,294.35,294.56820016234303
1387080,294.35,294.56841728755484
1387110,294.35,294.568627486365
1387140,294.35,294.56883076362783
1387170,294.35,294.56902712697274
1387200,294.35,294.56921658674395
1387230,294.35,294.5693991559354
1387260,294.35,294.56957485012236
1387290,294.35,294.56974368739
1387320,294.35,294.56990568825927
1387350,294.35,294.57006087561115
1387380,294.35,294.5702092746086
1387410,294.35,294.5703509126174
1387440,294.35,294.57048581912693
1387470,294.35,294.5706140256683
1387500,294.35,294.57073556573437
1387530,294.35,294.57085047469786
1387560,294.35,294.570958789731
1387590,294.35,294.57106054972405
1387620,294.35,294.5711557952061
1387650,294.35,294.5712445682649
1387680,294.35,294.57132691246846
1387710,294.35,294.5714028727878
1387740,294.35,294.57147249552025
1387770,294.35,294.57153582821434
1387800,294.35,294.571592919596
1387830,294.35,294.5716438194964
1387860,294.35,294.5716885787624
1387890,294.35,294.571727249232
1387920,294.35,294.5717598836352
1387950,294.35,294.57178653553217
1387980,294.35,294.57180725925025
1388010,294.35,294.5718221098215
1388040,294.35,294.57183114292286
1388070,294.35,294.57183441481686
1388100,294.35,294.57183198229546
1388130,294.35,294.5718239026245
1388160,294.35,294.5718102334912
1388190,294.35,294.5717910329528
1388220,294.35,294.57176635938737
1388250,294.35,294.5717362714467
1388280,294.35,294.57170082801065
1388310,294.35,294.571660088144
1388340,294.35,294.57161411105415
1388370,294.35,294.5715629560524
1388400,294.35,294.57150668251506
1388430,294.35,294.57144534984815
1388460,294.35,294.5713790174525
1388490,294.35,294.57130774469204
1388520,294.35,294.57123159086234
1388550,294.35,294.5711506151621
1388580,294.35,294.5710648766661
1388610,294.35,294.57097443429916
1388640,294.35,294.5708793468126
1388670,294.35,294.570779672762
