kpi,b1,b2,b3,b4
average demand decrease,0.1825484231982399,1.4175257137630586,83.37896538582643,11.497498042408084
average demand decrease intensity,0.0038030921499633,0.0073829464258492,0.009809290045391345,0.0069151227806094
average demand decrease index,0.307371077427014,1.0,0.5693030609540897,0.6074056636752768
average demand increase,0.3497198582157292,0.5733038591178463,44.852124194137176,5.048638236421932
average demand increase intensity,0.0072858303794943,0.0029859575995721,0.005276720493427903,0.0030364826461344
average demand increase index,-0.0153727443632122,1.896320196781799,0.4037253497920701,0.3047768726435551
average power rebound,-0.0004924884475044,-2.4406604595263137,12.518435199415057,-7.778965645251443
average power rebound index,0.0582068492538884,-0.9600805845681804,0.498346366414828,-0.1521400212614472
flexibility savings index,-4.459453744219588,31.413848330476835,4.03961514972554,29.455461617274803
energy savings of demand response,-0.9857537610065962,12.814337617005403,148.64346272672415,94.59037160156085
net building consumption change percentage,3.428793824700279,-34.03624060697844,-5.824964074323937,-28.37907479084111
peak power reduction,-2.118111844566667,-0.6897521967508569,-21.90340448694434,-7.863242658783797
cumulative average thermal discomfort,2.8575647904792163,7.412247767273186,0.3352715854301209,1.7882422246681131
tdis_tot,2.4399022053602795,5.543953494318546,0.34368245234565115,1.8864067017552453
