kpi,b1,b2,b3,b4
average demand decrease,0.0307491939587023,-3.849650250659088e-08,8.041019802278974,10.094739953378928
average demand decrease intensity,0.0006406082074729,-2.0050261722182744e-10,0.0009460023296798794,0.0060714397130976
average demand decrease index,0.0641820042812346,-2.557506151301681e-08,0.05671812100512047,0.328792211785122
average demand increase,0.142798356736275,-7.0652446855964e-10,22.934491656733012,-0.2049496124643031
average demand increase intensity,0.002974965765339,-3.679814940414793e-12,0.0026981754890274133,-0.000123266099181
average demand increase index,-0.1599689634427646,-2.3369746138257597e-09,0.12579633545096824,-0.0130241185637248
average power rebound,-0.015074135477008,-0.0017872028736007,-15.209375068948273,-6.766374421464575
average power rebound index,-0.1907575126796754,-0.0005831313693809,-0.044887829782245925,-0.2465435626008137
flexibility savings index,-2.3315007277973976,-0.0296801865363072,-1.0250890946089664,30.303101732268438
energy savings of demand response,-1.1645637029942169,-0.0207019079671526,11.830359280298332,102.79414873438866
net building consumption change percentage,4.05075688396987,0.0549864645097585,-0.46360207526094716,-30.84037820764755
peak power reduction,-2.0728939520333336,-3.842949070076429e-09,-28.387503641277704,5.0992696627501175
tdis_tot,0.3837106421341804,0.5986925694780776,0.0065562140322854645,0.6753787465715242
cumulative average thermal discomfort,0.1163508737571419,0.6055982000083304,0.0,0.368645530904098
