time,oveTZonSet_u,reaTZon_y
691200,288.15,288.149309032523
691230,288.15,288.14933051004874
691260,288.15,288.14935609694976
691290,288.15,288.149386158917
691320,288.15,288.1494203845696
691350,288.15,288.1494583163728
691380,288.15,288.14949943423056
691410,288.15,288.1495431754098
691440,288.15,288.149588946329
691470,288.15,288.14963613189076
691500,288.15,288.14968410411893
691530,288.15,288.1497322305944
691560,288.15,288.14977988277155
691590,288.15,288.1498264441286
691620,288.15,288.1498713180657
691650,288.15,288.14991393545506
691680,288.15,288.14995376175165
691710,288.15,288.1499903035767
691740,288.15,288.1500231146966
691770,288.15,288.1500518013269
691800,288.15,288.15007602670374
691830,288.15,288.1500955148722
691860,288.15,288.15011005365477
691890,288.15,288.15011949677324
691920,288.15,288.15012376510634
691950,288.15,288.15012284707996
691980,288.15,288.1501167981939
692010,288.15,288.15010573970164
692040,288.15,288.1500898564686
692070,288.15,288.15006939404356
692100,288.15,288.1500446549881
692130,288.15,288.1500159945153
692160,288.15,288.1499838154977
692190,288.15,288.14994856291196
692220,288.15,288.1499107177922
692250,288.15,288.14987079077025
692280,288.15,288.1498293152869
692310,288.15,288.14978684055836
692340,288.15,288.1497439243891
692370,288.15,288.1497011259208
692400,288.15,288.1496589984089
692430,288.15,288.14961808211916
692460,288.15,288.1495788974326
692490,288.15,288.1495419382473
692520,288.15,288.1495076657603
692550,288.15,288.1494765027091
692580,288.15,288.1494488281454
692610,288.15,288.1494249728088
692640,288.15,288.1494052151576
692670,288.15,288.1493897781086
692700,288.15,288.14937882652447
692730,288.15,288.14937246548146
692760,288.15,288.14937073933555
692790,288.15,288.1493736315971
692820,288.15,288.1493810656107
692850,288.15,288.14939290602854
692880,288.15,288.1494089610503
692910,288.15,288.1494289853968
692940,288.15,288.1494526839714
692970,288.15,288.14947971615345
693000,288.15,288.149509700663
693030,288.15,288.1495422209232
693060,288.15,288.1495768308465
693090,288.15,288.1496130608889
693120,288.15,288.14965042464706
693150,288.15,288.1496884252083
693180,288.15,288.14972656180163
693210,288.15,288.1497643364151
693240,288.15,288.1498012603038
693270,288.15,288.14983686030826
693300,288.15,288.1498706849023
693330,288.15,288.1499023098951
693360,288.15,288.14993134371616
693390,288.15,288.1499574322193
693420,288.15,288.14998026294893
693450,288.15,288.1499995688195
693480,288.15,288.15001513116823
693510,288.15,288.15002678214813
