time,oveTZonSet_u,reaTZon_y
3024000,292.15,292.0783023143387
3024030,292.15,292.07715653461287
3024060,292.15,292.0760349747677
3024090,292.15,292.07493914617663
3024120,292.15,292.07386942250776
3024150,292.15,292.07282620440776
3024180,292.15,292.07180988952877
3024210,292.15,292.0708208687543
3024240,292.15,292.069859524841
3024270,292.15,292.06892623168403
3024300,292.15,292.0680213539985
3024330,292.15,292.06714524703517
3024360,292.15,292.0662982563299
3024390,292.15,292.06548071746346
3024420,292.15,292.06469295582417
3024450,292.15,292.06393528637153
3024480,292.15,292.06320801339996
3024510,292.15,292.06251143030283
3024540,292.15,292.0618458193368
3024570,292.15,292.06121145138667
3024600,292.15,292.06060858573244
3024630,292.15,292.06003746981645
3024660,292.15,292.05949833901354
3024690,292.15,292.05899141619415
3024720,292.15,292.0585169122839
3024750,292.15,292.0580750249979
3024780,292.15,292.0576659391616
3024810,292.15,292.0572898264534
3024840,292.15,292.05694684518227
3024870,292.15,292.0566371400818
3024900,292.15,292.05636084211386
3024930,292.15,292.05611806828074
3024960,292.15,292.0559089214471
3024990,292.15,292.055733490169
3025020,292.15,292.05559184853445
3025050,292.15,292.0554840560133
3025080,292.15,292.05541015731876
3025110,292.15,292.0553701822801
3025140,292.15,292.0553641457287
3025170,292.15,292.0553920473956
3025200,292.15,292.05545387182417
3025230,292.15,292.0555495882943
3025260,292.15,292.0556791507631
3025290,292.15,292.0558424972206
3025320,292.15,292.05603955189565
3025350,292.15,292.05627022226105
3025380,292.15,292.05653440056676
3025410,292.15,292.056831963721
3025440,292.15,292.05716277259967
3025470,292.15,292.05752667460644
3025500,292.15,292.05792350035136
3025530,292.15,292.0583530654635
3025560,292.15,292.05881517052535
3025590,292.15,292.0593096003934
3025620,292.15,292.0598361270431
3025650,292.15,292.06039450602856
3025680,292.15,292.06098447851906
3025710,292.15,292.0616057712873
3025740,292.15,292.0622580968264
3025770,292.15,292.06294115351443
3025800,292.15,292.0636546250362
3025830,292.15,292.06439818346325
3025860,292.15,292.065171485627
3025890,292.15,292.0659741745852
3025920,292.15,292.0668058817825
3025950,292.15,292.06766622551885
3025980,292.15,292.0685548114453
3026010,292.15,292.0694712329131
3026040,292.15,292.07041507128093
3026070,292.15,292.0713858962116
3026100,292.15,292.0723832659715
3026130,292.15,292.0734067277345
3026160,292.15,292.0744558178931
3026190,292.15,292.0755300623758
3026220,292.15,292.07662897697065
3026250,292.15,292.077752067654
3026280,292.15,292.078898830926
3026310,292.15,292.08006875414884
3026340,292.15,292.0812613158912
3026370,292.15,292.0824759862754
3026400,292.15,292.08371222732853
3026430,292.15,292.0849694933358
3026460,292.15,292.0862472311973
3026490,292.15,292.0875448807863
3026520,292.15,292.08886187530845
3026550,292.15,292.09019764166334
3026580,292.15,292.0915516008063
3026610,292.15,292.09292316810973
3026640,292.15,292.0943117537251
3026670,292.15,292.0957167629442
3026700,292.15,292.09713759655966
3026730,292.15,292.0985736512392
3026760,292.15,292.1000243198567
3026790,292.15,292.10148899185486
3026820,292.15,292.1029670536002
3026850,292.15,292.1044578887339
3026880,292.15,292.1059608785198
3026910,292.15,292.1074754021878
3026940,292.15,292.10900083727427
3026970,292.15,292.11053655995926
3027000,292.15,292.11208194539836
3027030,292.15,292.11363636805146
3027060,292.15,292.1151992020062
3027090,292.15,292.1167698212974
3027120,292.15,292.11834760022185
3027150,292.15,292.11993191364775
3027180,292.15,292.1215221373194
3027210,292.15,292.1231176481577
3027240,292.15,292.12471782455464
3027270,292.15,292.12632204666437
3027300,292.15,292.1279296966885
3027330,292.15,292.1295401591578
3027360,292.15,292.13115282121043
3027390,292.15,292.13276707286656
3027420,292.15,292.1343823073016
3027450,292.15,292.1359979211187
3027480,292.15,292.1376133146231
3027510,292.15,292.13922789210307
3027540,292.15,292.1408410621226
3027570,292.15,292.14245223783666
3027600,292.15,292.1440608373506
3027630,292.15,292.14566628421954
3027660,292.15,292.14726800822353
3027690,292.15,292.1488654470588
3027720,292.15,292.15045804896187
3027750,292.15,292.15204526257406
3027780,292.15,292.1536265167924
3027810,292.15,292.1552012463423
3027840,292.15,292.15676889443057
3027870,292.15,292.1583289125701
3027900,292.15,292.1598807601426
3027930,292.15,292.1614239040945
3027960,292.15,292.1629578187702
3027990,292.15,292.1644819858411
3028020,292.15,292.16599589428927
3028050,292.15,292.1674990404269
3028080,292.15,292.1689909279342
3028110,292.15,292.17047106791017
3028140,292.15,292.17193897892815
3028170,292.15,292.17339418709713
3028200,292.15,292.1748362261224
3028230,292.15,292.17626463736696
3028260,292.15,292.1776789699123
3028290,292.15,292.1790787806169
